iter	Passed	Remaining
0	117	117331
1	118	58925
2	118	39491
3	119	29740
4	120	23894
5	120	19992
6	121	17197
7	121	15102
8	122	13469
9	122	12157
10	123	11090
11	123	10203
12	124	9448
13	124	8803
14	125	8243
15	126	7790
16	127	7371
17	128	6989
18	128	6645
19	129	6336
20	129	6058
21	130	5804
22	131	5572
23	131	5358
24	132	5162
25	132	4980
26	133	4812
27	134	4655
28	134	4509
29	135	4374
30	135	4247
31	136	4128
32	137	4016
33	138	3948
34	140	3861
35	140	3773
36	141	3684
37	142	3599
38	142	3518
39	143	3441
40	143	3368
41	144	3298
42	145	3231
43	145	3168
44	146	3107
45	147	3048
46	147	2992
47	148	2938
48	148	2887
49	149	2843
50	150	2807
51	151	2761
52	152	2717
53	152	2675
54	153	2634
55	153	2594
56	154	2556
57	155	2519
58	155	2483
59	156	2448
60	156	2415
61	157	2382
62	158	2350
63	158	2320
64	159	2290
65	159	2261
66	161	2252
67	162	2226
68	163	2199
69	163	2174
70	164	2149
71	164	2125
72	165	2101
73	166	2077
74	166	2055
75	167	2033
76	167	2011
77	168	1990
78	168	1969
79	169	1949
80	170	1930
81	170	1910
82	170	1888
83	171	1870
84	172	1852
85	174	1852
86	174	1835
87	175	1819
88	176	1802
89	176	1786
90	177	1771
91	177	1755
92	178	1740
93	179	1726
94	179	1712
95	180	1697
96	180	1683
97	181	1670
98	182	1656
99	182	1643
100	183	1630
101	183	1618
102	184	1609
103	185	1600
104	186	1588
105	186	1577
106	187	1565
107	188	1554
108	188	1543
109	189	1532
110	189	1521
111	190	1510
112	191	1500
113	191	1490
114	192	1480
115	192	1470
116	193	1458
117	193	1449
118	194	1439
119	195	1430
120	195	1421
121	196	1410
122	197	1408
123	198	1400
124	198	1392
125	199	1383
126	199	1374
127	200	1365
128	201	1357
129	201	1349
130	202	1341
131	202	1333
132	203	1325
133	203	1317
134	204	1309
135	204	1301
136	205	1293
137	205	1285
138	206	1277
139	206	1270
140	207	1262
141	207	1254
142	209	1253
143	209	1246
144	210	1239
145	210	1232
146	211	1225
147	211	1219
148	212	1212
149	212	1205
150	213	1199
151	213	1192
152	214	1186
153	214	1180
154	215	1174
155	215	1167
156	216	1161
157	216	1156
158	217	1150
159	218	1145
160	218	1138
161	219	1133
162	219	1127
163	221	1126
164	222	1124
165	222	1119
166	223	1114
167	223	1109
168	224	1104
169	225	1099
170	225	1094
171	226	1089
172	227	1085
173	227	1080
174	228	1075
175	228	1071
176	229	1066
177	229	1061
178	230	1057
179	231	1052
180	231	1048
181	233	1047
182	233	1043
183	234	1038
184	234	1034
185	235	1030
186	236	1026
187	236	1021
